headline,content,average_polarity,tag
Κορονοϊός: 11 νέα κρούσματα στην Ελλάδα - Στους 110 οι νεκροί - Υγεία | News 24/7,Αύξηση κρουσμάτων του κορονοϊού κατά 11 ανακοίνωσε το απόγευμα της Μεγάλου Σαββάτου το υπουργείο Υγείας. Έχουν χάσει τη ζωή τους 110 άνθρωποι και ...,-0.57125,negative
Κορονοϊός: Συγκλονιστικές εικόνες σε Αθήνα και Ηράκλειο – Η στιγμή που ασθενείς νικούν το φονικό ιό,Δάκρυα χαράς για τους γιατρούς και τους νοσηλευτές – Πανηγύριζαν όλοι όταν αποσωλήνωσαν άτομα που νοσούσαν από κορονοϊό. Συγκινητικές είναι οι εικόνες ...,0.18155000000000002,neutral
Κορονοϊός: Πέντε πλατείες στην Αθήνα… από ψηλά – Έσφυζαν από ζωή και τώρα είναι άδειες,13 Απριλίου 2020. Η εικόνα στους δρόμους της Αθήνας δεν θυμίζει σε τίποτα τους αντίστοιχου.,-0.26375,neutral
Κορονοϊός: Σχεδόν 255.000 οι νεκροί σε όλον τον κόσμο,"Η πανδημία του νέου κορονοϊού έχει στοιχίσει τη ζωή σε τουλάχιστον 254.532 ανθρώπους σε όλον τον κόσμο από τον περασμένο Δεκέμβριο, όταν ...",-0.6428,negative
Σε αναστολή ο δακτύλιος στην Αθήνα - Τι ισχύει με το πάρκινγκ,Οι πολίτες καλούνται να αποφεύγουν τα Μέσα Μαζικής Μεταφοράς και να προτιμούν τα ΙΧ για τις μετακινήσεις τους.,-0.38634999999999997,negative
Κορονοϊός: Τι έδειξαν τα πρώτα αποτελέσματα των τεστ από τις Κινητές Ομάδες του ΕΟΔΥ,Στο «κυνήγι» των κρυφών εστιών κορονοϊού έχουν επιδοθεί οι Κινητές Ομάδες του Εθνικού Οργανισμού Δημόσιας Υγείας (ΕΟΔΥ). Ιδιαίτερα ευχάριστα είναι τα νέα ...,0.28545,neutral
Κορονοϊός: Ποια καταστήματα ανοίγουν τη Δευτέρα,Αρχίζει από τη Δευτέρα (04/05) η πρώτη φάση της άρσης των περιοριστικών μέτρων και η μερική επιστροφή στην κανονικότητα. Αναλυτικά ποια καταστήματα ...,0.0,neutral
Κορονοϊός: Όλη η γεωγραφική εξάπλωση στην Ελλάδα,"Σάρωσε ο κορονοϊός σε Αθήνα, Κηφισιά και Θεσσαλονίκη. Ποιοι νομοί είναι εντελώς “καθαροί” και δεν ξέρουν… τι εστί Covid-19. Όλος.",0.2288,neutral
Κορονοϊός: Τούρκοι στην Αθήνα «έσπασαν» την καραντίνα!,"Κορονοϊός: Δύο Τούρκοι που βρίσκονται σε καραντίνα σε ξενοδοχείο της Γλυφάδας και αποτελούν πλήρωμα του «Ελευθέριος Βενιζέλος», επιχείρησαν να φύγουν, ...",0.0,neutral
Κορονοϊός: Στους 123 οι νεκροί - Κατέληξαν δύο άνδρες σε Αθήνα και Θεσσαλονίκη,Τους 123 έφτασαν οι νεκροί στην Ελλάδα από κορονοϊό καθώς τα ξημερώματα της Πέμπτης κατέληξαν ένας ηλικιωμένος ασθενής που νοσηλευόταν στο ...,-0.624,negative
Αθήνα - Covid-19: Φωτορεπορτάζ πριν και κατά την διάρκεια της καραντίνας,Έχουν περάσει 23 ημέρες από τότε που η Ελλάδα έλαβε περιοριστικά μέτρα κυκλοφορίας εξαιτίας της πανδημίας του κορονοϊού SARS-CoV-2.,0.0,neutral
Κορονοϊός: Προβληματισμός για την περίπτωση γυναίκας στην Αθήνα που πήρε εξιτήριο και βρέθηκε πάλι θετική στον ιό,Συναγερμός για την περίπτωση γυναίκας στην Αθήνα που βρέθηκε δεύτερη φορά θετική στον κορονοϊό.,0.42669999999999997,neutral
Κορονοϊός: 105 τα θύματα - Επιπλέον μέτρα και αυστηρότερα πρόστιμα για τις μετακινήσεις,"Άλλα 15 νέα κρούσματα του κορονοϊού SARS-CoV-2 στη χώρα μας, ανακοίνωσε ο Καθηγητής Σωτήρης Τσιόδρας, εκπρόσωπος του Υπουργείου Υγείας για το νέο ...",-0.1591,neutral
Κορονοϊός: 81 οι νεκροί - Κατέληξαν 42χρονος στη Θεσσαλονίκη και 84χρονη στην Αθήνα,"Ο 42χρονος νοσηλευόταν στη ΜΕΘ του νοσοκομείου ΑΧΕΠΑ, ενώ η 84χρονη στον Ευαγγελισμό.",-0.3243,negative
Κορονοϊός στην Ελλάδα: Στους 127 οι νεκροί - Δύο νέοι θάνατοι σε Αθήνα και Αλεξανδρούπολη,Σε 127 ανεβαίνει ο συνολικός αριθμός των νεκρών από κορονοϊό στη χώρα μας καθώς ακόμα δύο άνθρωποι έχασαν τη μάχη με τον ιό.,-0.5802,negative
Κορονοϊός: Ασυμπτωματικοί ασθενείς εντοπίστηκαν σε «Αλεξάνδρα» και ΑΧΕΠΑ,"Προβληματισμός επικρατεί για την επόμενη ημέρα στα νοσοκομεία τα οποία επιστρέφουν σταδιακά στη νέα κανονικότητα, αφού σε «Αλεξάνδρα» και ΑΧΕΠΑ ...",0.0,neutral
Πώς ο κορονοϊός έπληξε τον FSRU στην Αλεξανδρούπολη,Στην αστάθεια που προκαλεί η πανδημία του κοροναϊού στις διεθνείς αγορές οφείλονται οι περισσότερες αναβολές και καθυστερήσεις σε φαραωνικά έργα στον ...,0.0,neutral
,0,0.0,neutral
Κορονοϊός: Κατέληξαν 35χρονος στη Θεσσαλονίκη και 75χρονος στην Αθήνα – Στους 119 οι νεκροί,"Μεγαλώνει, μέρα με τη μέρα, ο αριθμός των θανάτων από τον κορονοϊό στη χώρα, καθώς τα ξημερώματα της Τρίτης (21/04), έφυγαν άλλοι δυο συνάνθρωποί μας,",-0.28569999999999995,neutral
Κορονοϊός: Στους 145 οι νεκροί,"Αυξάνεται ο αριθμός των θυμάτων από κορονοϊό στη χώρα μας, φτάνοντας τους 145 νεκρούς. Τελευταίο θύμα μια γυναίκα 88 ετών που νοσηλεύονταν στο ...",-0.35009999999999997,negative
Κορονοϊός: Παραλείψεις σε κλινικές εντόπισε η Εθνική Αρχή Διαφάνειας,Η Εθνική Αρχή Διαφάνειας πραγματοποίησε στις 27-30 Απριλίου 2020 ελέγχους σε δέκα (10) Μονάδες Φροντίδας Ηλικιωμένων και Προνοιακές Δομές και σε ...,0.01755000000000001,neutral
Κορονοϊός: 22 νέα κρούσματα – 2.192 συνολικά – 102 τα θύματα,"Άλλα 22 νέα κρούσματα του κορονοϊού SARS-CoV-2 στη χώρα μας, ανακοίνωσε ο Καθηγητής Σωτήρης Τσιόδρας, εκπρόσωπος του υπουργείου Υγείας για το νέο ...",-0.1872,neutral
Κορονοϊός: 131 νεκροί στην Ελλάδα - Κατέληξε ηλικιωμένος στην Αθήνα,Στους 131 ανέρχεται ο αριθμός των νεκρών από κορονοϊό στην Ελλάδα.,-0.2611,neutral
Κορονοϊός: Πρέπει να φοράμε μάσκα; - Τι δήλωσε η καθηγήτρια Επιδημιολογίας Αθηνά Λινού στον Realfm,"""Πρώτον πρέπει να συνεχίσουμε να πειθαρχούμε στα μέτρα και δεύτερον να κλείσουμε τις κερκόπορτες σε άλλες πηγές από όπου μπορεί να έρθει ο κορονοϊός.",0.0,neutral
Κορονοϊός: Αφίσα - σοκ στους δρόμους της Αθήνας - Δείτε τι γράφει,"Την στιγμή που ο κορονοϊός πραγματοποιεί την επέλασή του στον πλανήτη, μερικοί βρήκαν την ευκαιρία να κάνουν πλάκα με αυτό το θέμα. Οι προειδοποιήσεις ...",0.10880000000000004,neutral
Κορονοϊός: Έρημη πόλη η Αθήνα - Πρωτόγνωρες εικόνες από τους άδειους δρόμους της πρωτεύουσας,Στο πλαίσιο των μέτρων κατά της εξάπλωσης του κορονοϊού το φετινό Πάσχα είναι διαφορετικό από όλα τα προηγούμενα. Οι εικόνες μάλιστα που καταγράφηκαν ...,-0.10115,neutral
Κορονοϊός: 'Aλλοι δύο νεκροί σε Αλεξανδρούπολη και Αθήνα - Dikaiologitika News | Ειδήσεις,"Κορονοϊός: Μακραίνει η λίστα των θανάτων από τον κορονοϊό στην χώρα μας, καθώς προστέθηκε ένας ακόμα συμπολίτης μας. Αργά το απόγευμα της Πέμπτης ...",-0.3243,negative
Κορονοϊός: Στους 110 οι νεκροί στην Ελλάδα - Κατέληξε άνδρας στην Αθήνα,Στους 110 ανέρχονται οι νεκροί από τον κορονοϊό στην Ελλάδα.,-0.624,negative
Κορονοϊός: Στους 101 οι νεκροί - Κατέληξε 96χρονη στο ΝΙΜΤΣ,"Aυξάνεται ο αριθμός των θανάτων από κορονοϊό, στη χώρα μας. Σύμφωνα με πληροφορίες, σήμερα κατέληξε μία γυναίκα 96 ετών, η οποία νοσηλευόταν στο ...",-0.23534999999999998,neutral
Κορονοϊός: Στους 118 οι νεκροί - Υπέκυψε ηλικιωμένος στην Αθήνα,Στους 118 οι νεκροί από κορονοϊό στην Ελλάδα. Σύμφωνα με πληροφορίες ένας 75χρονος που νοσηλευόταν στο νοσοκομείο «Ευαγγελισμός» άφησε την ...,-0.7423,negative
Κορονοϊός: Πρώτο κρούσμα σε οδηγό ταξί,Γεγονός αποτελεί το πρώτο κρούσμα κορονοϊού σε επαγγελματία αυτοκινητιστή στην Ελλάδα. Πρόκειται για έναν 55χρονο οδηγό ταξί από την Αθήνα.,0.0,neutral
Κορονοϊός: Στα 98 τα θύματα στην Ελλάδα- 2.114 κρούσματα,"Άλλα 33 νέα κρούσματα του κορονοϊού στη χώρα μας, ανακοίνωσε ο καθηγητής Σωτήρης Τσιόδρας. Συνολικά ο αριθμός των επιβεβαιωμένων κρουσμάτων είναι ...",-0.08345,neutral
Κορονοϊός Αθήνα: «Ανάγκη για χρώμα και φως»,"Κορονοϊός Αθήνα: Χιλιάδες πολύχρωμα φυτά ομορφαίνουν τις τελευταίες εβδομάδες πολλές διαφορετικές γωνιές της πόλης, στο κέντρο αλλά και τις γειτονιές της.",0.2553,neutral
Κορονοϊός: Στους 108 οι νεκροί - Σε «Μποδοσάκειο» και «Σωτηρία» τα τελευταία θύματα,"Δύο ακόμα άνθρωποι έχασαν τη ζωή τους σήμερα τα ξημερώματα, εξαιτίας του κορονοϊού στη χώρα μας, ανεβάζοντας των αριθμό των θυμάτων σε 108. Σύμφωνα ...",-0.79785,negative
Κορονοϊός: Στους 89 οι νεκροί - Κατέληξε ηλικιωμένη στην Αθήνα,Στους 89 οι νεκροί από κορονοϊό στην Ελλάδα. Μία ηλικιωμένη στην Αθήνα άφησε την τελευταία της πνοή.,-0.6486,negative
Κορονοϊός: Ερημιά στο κέντρο της Αθήνας - ΦΩΤΟ,"Πόλη-φάντασμα θύμιζε και το πρωί της Μεγάλης Δευτέρας η Αθήνα, όπως φαίνεται και στις φωτογραφίες που μας έστειλε αναγνώστης του enikos.gr από το ...",-0.1591,neutral
Κορονοϊός: Εφιαλτικό σενάριο για πάνω από 100.000 νεκρούς στις ΗΠΑ ως τον Ιούνιο,"Στις Ηνωμένες Πολιτείες της Αμερικής το όριο των 100.000 θανάτων εξαιτίας της πανδημίας του κορονοϊού, στο οποίο αναφέρθηκε προχθές Κυριακή ο ...",0.0,neutral
Κορονοϊός - Ελλάδα: Χωρίς πτήσεις μέχρι τις 15 Μαΐου από και προς έξι χώρες - Κοινωνία | News 24/7,"Παρατείνεται η αναστολή ελληνικών πτήσεων από και προς Ιταλία, Ισπανία, Τουρκία, Ηνωμένο Βασίλειο, Ολλανδία και Γερμανία ως τις 15 Μαΐου - Επιτρέπονται ...",0.23785000000000003,neutral
Δεν το βρίσκεις στην Αθήνα: Η πόλη με το πιτσόγυρο-γίγας που δεν το κάνoυν καλά 2 άτομα (pics),"Αν είσαι μερακλής στο φαγητό, τότε πρέπει να το αναζητήσεις...",0.08804999999999999,neutral
Κορονοϊός: 17 νέα κρούσματα στην Ελλάδα - Στους 108 οι νεκροί - Υγεία | News 24/7,Αύξηση κρουσμάτων του κορονοϊού κατά 17 ανακοίνωσε το απόγευμα της Μεγάλης Παρασκευής το υπουργείο Υγείας. Έχουν χάσει τη ζωή τους 108 άνθρωποι ...,-0.3629,negative
"Κορονοϊός - Βαρουφάκης για ταξίδι στην Αίγινα: Μένω εκεί, πήγα στην Αθήνα για συνεδρίαση της Βουλής","Απάντηση στις πληροφορίες που τον ήθελαν να «σπάει» την καραντίνα και να πηγαίνει στην Αίγινα έδωσε ο επικεφαλής του ΜέΡΑ25, Γιάνης Βαρουφάκης, μέσω ...",0.0,neutral
"Κορονοϊός: 11 νέα κρούσματα, 110 συνολικά θάνατοι",Έντεκα νέα κρούσματα του κορονωϊού SARS-CoV-2 στη χώρα μας στη σημερινή γραπτή ενημέρωση του Υπουργείου Υγείας.,0.0,neutral
Κορονοϊός και κατοικίδια: Όλα όσα πρέπει να ξέρετε,"Με τα σημερινά δεδομένα, τα ζώα δεν νοσούν και οι άνθρωποι που έρχονται σε επαφή με αυτά, δεν διατρέχουν κάποιο κίνδυνο να μολυνθούν», τόνισε η πρόεδρος ...",-0.00695,neutral
Κορoνοϊός - ΗΠΑ: Ο Τραμπ διαλύει την ειδική επιχειρησιακή ομάδα για την πανδημία,Ο πρόεδρος των ΗΠΑ Ντόναλντ Τραμπ δήλωσε ότι η ειδική επιχειρησιακή ομάδα που είχε συστήσει στον Λευκό Οίκο για την αντιμετώπιση της πανδημίας του ...,0.0,neutral
Κορονοϊός: Η Αθήνα υποψήφια για το Final 8 της Euroleague,"Όπως έχουν αποφασίσει οι διοργανωτές δεν θα γίνουν τα πλέι οφ, όπως είχαμε συνηθίσει, αλλά θα γίνει Final 8. Πλέον οι ιθύνοντες είναι σε αναζήτηση της.",0.0,neutral
Κορονοϊός: Αποχή απο τους δικηγόρους της Αθήνας στις 28 Απριλίου - Κοινωνία | News 24/7,Σε αποχή κατέρχονται οι Αθηναίοι δικηγόροι την 28η Απριλίου 2020 που είναι η πρώτη ημέρα επαναλειτουργίας των δικαστηρίων μετά το ξέσπασμα του ...,0.0,neutral
Κορονοϊός: 89 τα θύματα στην Ελλάδα,"Τους 89 ανήλθαν τα θύματα του κορονοϊού στη χώρα μας, καθώς στη θλιβερή λίστα προστέθηκε μια 67χρονη γυναίκα, η οποία νοσηλεύονταν με υποκείμενα ...",-0.48895,negative
Ο κορονοϊός δεν πτοεί Athens Open Air Film Festival και «Νύχτες Πρεμιέρας»,"Οι άνθρωποι των δυο φεστιβάλ κινηματογράφου, Athens Open Air Film Festival και «Νύχτες Πρεμιέρας» δηλώνουν «παρών» και υπόσχονται να συναντήσουν ...",0.736,positive
Κορωνοϊός - Αθήνα: Γάμοι εν μέσω πανδημίας,"Ειδήσεις - Παρόλο που η πλειοψηφία των μελλόνυμφων επιλέγει να αναβάλλει προσωρινά την τελετή του γάμου , δεν είναι λίγοι εκείνοι που επιλέγουν να ...",-0.11315,neutral
Κορονοϊός: Ο απολογισμός της πανδημίας της covid-19.,"Η πανδημία του νέου κορονοϊού έχει προκαλέσει τουλάχιστον 160.685 θανάτους σε όλο τον κόσμο, αφότου εμφανίστηκε τον περασμένο Δεκέμβριο στην Κίνα, ...",0.0,neutral
Κορονοϊός - Γερμανικός Τύπος: Διθυραμβικό δημοσίευμα για την Ελλάδα σχετικά με την πανδημία Covid-19,Κορονοϊός - Όλες οι Ειδήσεις: Η ελληνική κυβέρνηση αντέδρασε αστραπιαία για την αντιμετώπιση της πανδημίας. Σε εκτενές άρθρο η Süddeutsche Zeitung με ...,0.0,neutral
Ρωσία - κορονοϊός: Ξεπέρασαν τις 10.000 τα κρούσματα,"Για δεύτερη συνεχή ημέρα καταγράφηκαν στην Ρωσία περισσότερα από 10.000 νέα κρούσματα, ανεβάζοντας τον συνολικό αριθμό στις 145.268.",0.07565,neutral
ΤΡΑΙΝΟΣΕ: Ο κορονοϊός «φρενάρει» τα νέα τρένα,"Σύμφωνα με τον Διευθύνοντα Σύμβουλο της εταιρείας, Φίλιππο Τσαλίδη, το πλήγμα της πανδημίας για την εταιρεία ήταν τεράστιο, αφού η πτώση των εσόδων ...",0.1591,neutral
“Special Report”: οι άστεγοι της Αθήνας και ο κορονοϊός (βίντεο),Συγκλονίζουν οι μαρτυρίες για τις συνθήκες διαβίωσης άστεγων τις τελευταίες εβδομάδες που οι υπόλοιποι “μένουμε σπίτι”.,0.0,neutral
Κορονοϊός: Αρνητικά όλα τα τεστ σε ΑΕΚ και Παναθηναϊκό,"Έτοιμοι να ξαναρχίσουν δουλειά, έστω χωρίς μπάλα και όχι όλοι μαζί, είναι οι παίκτες των.",-0.10534999999999997,neutral
Κορονοϊός: Ο Ντόναλντ Τραμπ προβλέπει ότι θα είναι διαθέσιμο εμβόλιο εντός του 2020,Ο Ρεπουμπλικάνος πρόεδρος των ΗΠΑ Ντόναλντ Τραμπ εκτίμησε χθες Κυριακή ότι θα είναι διαθέσιμο μέσα στο 2020 εμβόλιο εναντίον του νέου κορονοϊού.,0.0,neutral
Κορονοϊός: Ο χάρτης της Ελλάδας – Στα 93 τα θύματα,"Ελάχιστες είναι πλέον οι περιοχές που δεν έχουν κρούσματα κορονοιού, τη στιγμή που τα θύματα έχουν ανέλθει πλέον σε 92 μετά και το θάνατο χθες το απόγευμα ...",-0.52665,negative
Κορονοϊός και τουρκική λίρα «σπρώχνουν» τον Ερντογάν στο Αιγαίο,Ειδήσεις - Στριμωγμένος και επικίνδυνος ο Ερντογάν: Κορονοϊός και λίρα τον…σπρώχνουν στο Αιγαίο.,-0.31845,negative
Κορονοϊός: Το Πάσχα στην καραντίνα - Live Blog,"Από τα μπαλκόνια τους γιόρτασαν οι πιστοί την Ανάσταση. Ψήσιμο και φαγητό σήμερα στα σπίτια, την ώρα που τα κρούσματα στη χώρα μειώνονται και τα μέτρα ...",0.28595,neutral
Κορονοϊός: Ο όμιλος General Electric καταργεί πάνω από 10.000 επιπλέον θέσεις εργασίας,"Ο όμιλος General Electric (GE) θα καταργήσει άλλες 10.000 και πλέον θέσεις εργασίας στο τμήμα της που ειδικεύεται στην αεροπορία, ανακοίνωσε η διεύθυνσή ...",0.0,neutral
Κορονοϊός στην Ελλάδα: 147 οι νεκροί - Επικαιρότητα,"Στους 147 έφτασαν οι νεκροί στην Ελλάδα από τον κορονοϊό, καθώς τα ξημερώματα της Τετάρτης έχασε την μάχη για την ζωή μια γυναίκα ηλικίας 89 ετών που ...",-0.74835,negative
Κορονοϊός: Πεντικιούρ… με μάσκα – Επέστρεψε στη νέα κανονικότητα όλη η Ελλάδα (pics),"Τήρηση των μέτρων, επιφυλακτικότητα και αγωνία συνθέτουν την εικόνα της πρώτης ημέρας μετά την χαλάρωση των μέτρων σε πολλές πόλεις της Ελλάδας, ενώ ...",0.20095,neutral
Κορονοϊός: 91 νεκροί - 47χρονος στον «Ευαγγελισμό» το τελευταίο θύμα,"Αλλα 56 νέα κρούσματα του κορονοϊού SARS-CoV-2 στη χώρα μας ανακοίνωσε ο εκπρόσωπος του υπ. Υγείας, καθηγητής Λοιμωξιολογίας Σωτήρης Τσιόδρας.",-0.3753,negative
Κορονοϊός: Κατέληξε ηλικιωμένη στην Αθήνα – Στους 101 οι νεκροί συνολικά (video),"Μεγαλώνει η λίστα με τους νεκρούς από τον κορονοϊό στην Ελλάδα, καθώς έγινε γνωστό ότι μια γυναίκα 96 ετών «έφυγε», έχοντας προσβληθεί από τον ιό. Οι.",-0.7481,negative
Κορονοϊός: Νέα αύξηση κυκλοφορίας στην Αττική – Αυστηρό μήνυμα Πατούλη,Τι κι αν ο κορονοϊός είναι ακόμα... εδώ; Αύξηση της κυκλοφορίας σε ποσοστά που σε κάποιες περιπτώσεις έφτασαν και το 11% παρατηρήθηκε σε κεντρικές οδικές.,0.3397,neutral
Κορονοϊός: Η Ευρώπη αρχίζει να βγαίνει από την καραντίνα,"Έπειτα από εβδομάδες περιορισμού στο σπίτι, ένα μέρος της Ευρώπης αρχίζει και πάλι να αναπνέει πιο ελεύθερα, καθώς σε πολλές χώρες αρχίζουν από αύριο να ...",0.1358,neutral
Επιμένει ο Τραμπ: Ερευνούμε αν ο κορονοϊός προήλθε από εργαστήριο στην Ουχάν,Ο Ντόναλντ Τραμπ δήλωσε ότι η κυβέρνησή του προσπαθεί να εξακριβώσει εάν και κατά πόσον ο κορονοϊός προήλθε «από εργαστήριο» στην πόλη Ουχάν της ...,0.0,neutral
O κορονοϊός σκοτώνει την εργασία: Επτά επαγγελματίες που πλήττονται μιλούν στο Sputnik,"Η Ελλάδα μετράει ήδη 40 ημέρες μέσα στην πανδημία του νέου κορονοϊού, με την πλειονότητα των επαγγελματικών κλάδων να πλήττονται βαρύτατα. Ανασφάλεια ...",-0.7476,negative
Ο κορονοϊός δεν είναι απειλή μόνο για την υγεία,"Η αντιμετώπιση της πανδημίας του κορονοϊού, φυσικά και δεν μπορεί να είναι υπόθεση ενός κράτους ή ομάδας κρατών, όσο ισχυρά και να είναι. Η δυναμική της ...",0.5837,positive
